fnames,moverscore
369,-0.1619399845180689
505,-0.11558030565757083
747,-0.1273626815163742
387,-0.06954318242381619
96,-0.12399263658117654
422,-0.1147189533801567
512,-0.10673923841799215
532,-0.06955550262042731
241,-0.05113653292397369
296,-0.1420884532941631
55,-0.18272320578541534
161,-0.1237969391542233
138,-0.12523438244869567
639,-0.1185194066850832
29,-0.11081358344386527
660,-0.15503152555656574
405,-0.1139161625322549
475,-0.16263336147155383
318,-0.05917349143744266
608,-0.12610986773831478
506,-0.09738669906656172
217,-0.09805819102931412
438,-0.10556662088529922
24,-0.1315478639622163
548,-0.09058373880926873
661,-0.10237018133315434
488,-0.12369619955704936
510,-0.12512928887358843
645,-0.15045761637056465
309,-0.06571446327931962
680,-0.1621349652480053
576,-0.06177912840550692
701,-0.11772139624968347
167,-0.14208173646376654
624,-0.11172152741405572
1,-0.11460935313668275
187,-0.12745663158866427
169,-0.09295163728058631
375,-0.10183011577038448
507,-0.1171921151144879
108,-0.026205268989233144
339,-0.07685572645103944
128,-0.12734679806011973
42,-0.09420749103225967
399,-0.06798419047368487
20,-0.07974862180549613
63,-0.14400117022726566
283,-0.06565648151132564
337,-0.1535262933983388
141,-0.10952022986408827
179,-0.07900130321447607
295,-0.1237522667061075
720,-0.07822222548533064
39,0.014681586610216568
671,0.01571786508146844
736,-0.1068820881428787
751,-0.17007170097850755
115,-0.10678504311629666
616,-0.05166215570320398
301,-0.12498195475151874
450,-0.16446405680275844
259,-0.15999317756707798
186,-0.12456646232616775
480,-0.16584681802244217
366,-0.07953710156541405
137,-0.09038369844172323
286,-0.121882509889224
190,-0.10197881606059833
56,-0.15078979740645893
754,-0.1227600766159389
703,-0.12172396229629201
555,-0.18468334032932865
669,-0.11359489501301434
459,-0.136937007620882
545,-0.11968352764786339
498,-0.0655580246517713
101,-0.06024747792288454
109,-0.10265661226172962
455,-0.10416962981882172
437,-0.12773697065600742
463,-0.1504709703239553
634,-0.07471780765626601
457,-0.0794980108463259
395,-0.12964323661633292
551,-0.11095969690998464
589,-0.11530244355213082
264,-0.12903449931100885
431,-0.11840086855894327
628,-0.11907322367534157
749,-0.16342832007399766
409,-0.14694267496478908
483,-0.0911710915742947
196,-0.14373145866562953
404,-0.08323673184075053
643,-0.13127953091631483
365,-0.09187405624959144
3,-0.11374378694815102
441,-0.137465300193105
348,-0.1165846441470948
570,-0.11764254052631173
388,-0.0953806501450063
575,-0.01741026488930486
417,-0.1074722905115566
714,-0.11483259480445573
711,-0.13315639425803982
131,-0.09070067654692537
321,-0.11125835625782998
107,-0.16036190751714252
416,-0.07455065374112246
495,-0.10764291439493312
126,-0.11609151545755059
695,-0.047713271919750166
228,-0.04103570521630662
428,-0.11439781349447142
651,-0.06322886848730414
663,-0.17457225307403768
586,-0.11764379716765738
468,-0.11673963748841665
262,-0.12205047308134609
235,-0.11347398201992198
250,-0.029292372158926883
176,-0.19617388387526669
275,-0.11391006153733718
719,-0.1503967949403051
225,-0.06137249294697478
371,0.11516324244883169
462,-0.07413728071884362
614,-0.14151712487569124
253,-0.1338837676978546
565,-0.14752341487036702
675,-0.05208335012866794
22,-0.10415564554771573
696,-0.07212987477720678
444,-0.1270687969285218
140,-0.11991276902636949
