fnames,moverscore
369,-0.1513821684581136
505,-0.09308409269480755
747,-0.11923931848850655
387,-0.04188510139857149
96,-0.12873690374705404
422,-0.14166853255664957
512,-0.1217932875546004
532,-0.020249472683555814
241,-0.032587962080312005
296,-0.14856190980577244
55,-0.16586405096146817
161,-0.14185185628894925
138,-0.18695642251198086
639,-0.11598151280991109
29,-0.049449433590327274
660,-0.08646665157511202
405,-0.10690893326499173
475,-0.10477200915264184
318,-0.10302011396975397
608,-0.15661793050157313
506,-0.10550593813269082
217,-0.11556600423251306
438,-0.12461919328355853
24,-0.09793957719951418
548,-0.12322724116823514
661,-0.11662473212833202
488,-0.13165953470358693
510,-0.16322917055220465
645,-0.17109269601677046
309,-0.06357664049156941
680,-0.1320348850516253
576,-0.06700311253635638
701,-0.07128704230056959
167,-0.09592567704116783
624,-0.13535517766630356
1,-0.1348921773525109
187,-0.12364327682907539
169,-0.10742349606649348
375,-0.08749383154355606
507,-0.09160156068713698
108,-0.07437673642012843
339,-0.09079244066206571
128,-0.14666441002044528
42,-0.12891851656900366
399,-0.07186320703610605
20,-0.05722491119648754
63,-0.11559990383668106
283,-0.06541709154380948
337,-0.1240855760031363
141,-0.12244692711606087
179,-0.12256663588998395
295,-0.1285486383067056
720,-0.06221234252906305
39,-0.004489388805707817
671,0.0408725348122162
736,-0.14505464028201276
751,-0.13983058140215077
115,-0.10219592875198336
616,-0.05653607261443483
301,-0.09492785585041741
450,-0.14213012184718132
259,-0.16658619660664975
186,-0.12887255471905257
480,-0.13442869019225911
366,-0.09050119533684575
137,-0.0755726406519619
286,-0.15333357980022777
190,-0.10179208816814445
56,-0.14661749193664297
754,-0.17193841346539296
703,-0.04659949049950107
555,-0.14571590437281956
669,-0.07326203845349233
459,-0.13395388968796307
545,-0.13038662910921595
498,-0.06673064371583504
101,-0.06475557597082626
109,-0.09948442797448287
455,-0.13460375527275792
437,-0.12478253206297096
463,-0.14364797779123384
634,-0.06620390368421547
457,-0.12422806123190622
395,-0.08908859892029519
551,-0.07223637285280482
589,-0.08830632449087328
264,-0.11511308652498897
431,-0.10885938058466804
628,-0.14194706436829785
749,-0.14143127964358237
409,-0.12020458685681801
483,-0.1219625316649735
196,-0.1073457959752031
404,-0.09566989386492963
643,-0.13999921183478192
365,-0.05111053558109324
3,-0.16494378922139696
441,-0.15051510758800113
348,-0.10521723052824195
570,-0.09580290643980738
388,-0.08386124713720378
575,-0.02013639568279646
417,-0.11465510705117454
714,-0.13389974894485301
711,-0.15505761864235978
131,-0.10384595487500925
321,-0.09149821001503344
107,-0.12178347229007724
416,-0.08890504512573738
495,-0.1204295365425776
126,-0.11836020618167864
695,-0.06979099240572362
228,-0.0697169831448341
428,-0.08112906125046382
651,-0.09428910446483396
663,-0.15427269337339444
586,-0.12676468651814332
468,-0.09571588612075432
262,-0.13047313317807085
235,-0.12494095861980359
250,-0.01729038437992436
176,-0.18204636937428753
275,-0.09890510290236754
719,-0.15696276119658337
225,-0.045135477625837694
371,0.1328195350563789
462,-0.0773463963007035
614,-0.10737978493436051
253,-0.16261162575857502
565,-0.09830858998713565
675,-0.04573929047009684
22,-0.15678275805116826
696,-0.042597724514030544
444,-0.1328029779560549
140,-0.13555419919710898
