fnames,moverscore
369,-0.2632925338603924
505,-0.21036523993973333
747,-0.20967760451037898
387,-0.163147051474837
96,-0.25861612197495765
422,-0.2515990024638668
512,-0.24770527350131144
532,-0.1391834580128286
241,-0.16279635411146698
296,-0.24394587364112796
55,-0.25720205738780555
161,-0.22660496889786175
138,-0.2473522596833826
639,-0.23308064862873668
29,-0.20726852591639622
660,-0.23544216736371126
405,-0.269398694335222
475,-0.23666636884349757
318,-0.22131821428920317
608,-0.23769911708250957
506,-0.23149246426298453
217,-0.20504918259200244
438,-0.24895753720853175
24,-0.23243244158853038
548,-0.2497994116139255
661,-0.2531247078733889
488,-0.21677064075755448
510,-0.26567766501573264
645,-0.24320604045612493
309,-0.1984263494138676
680,-0.25361774791189906
576,-0.16957346902768622
701,-0.22023989005022004
167,-0.23308663658553663
624,-0.23512151751957688
1,-0.1949357055796277
187,-0.23776772365244558
169,-0.20749735570524996
375,-0.18715518378847018
507,-0.21680663830710678
108,-0.17226148019622833
339,-0.1864336625466081
128,-0.2662329278112998
42,-0.2770145756132134
399,-0.18478335683351688
20,-0.18968706361407284
63,-0.28637109532547367
283,-0.20063999517873876
337,-0.27011505213681875
141,-0.2543419427381235
179,-0.19934243712540423
295,-0.239083740569632
720,-0.21359346181444083
39,-0.1266974911676133
671,-0.09674785601892211
736,-0.22544502114229337
751,-0.2662493612304466
115,-0.19990826931387518
616,-0.19262402391529232
301,-0.25215622952739336
450,-0.2592802078183407
259,-0.23984943127761826
186,-0.2084215719062712
480,-0.2651877848914834
366,-0.18715776711599563
137,-0.23150555237248893
286,-0.2277465506163323
190,-0.22618587926056177
56,-0.25723159434027343
754,-0.24703933344203244
703,-0.16569316541120083
555,-0.26536118689952204
669,-0.19842563776429012
459,-0.24671450086146884
545,-0.22845318890613497
498,-0.15385318219767363
101,-0.22020666460573635
109,-0.25687566969533115
455,-0.22026248017774686
437,-0.2250917394440375
463,-0.24202672134004555
634,-0.2066201164252972
457,-0.22620774133260424
395,-0.21895988645113662
551,-0.2313569362466228
589,-0.23847280964765294
264,-0.23073056954680182
431,-0.22161599785635344
628,-0.25698055234105643
749,-0.26196260332884913
409,-0.2594225468040865
483,-0.2117682684485538
196,-0.21963170059938109
404,-0.20604729603012362
643,-0.2628481733687005
365,-0.21194740549610813
3,-0.24997008171792334
441,-0.2594200491454681
348,-0.2211668935817941
570,-0.2219774116683353
388,-0.25148276488331645
575,-0.18197543980472508
417,-0.23470400094672073
714,-0.24168681904247014
711,-0.2397994651663662
131,-0.2084323683828817
321,-0.20561817770647206
107,-0.2728391520969524
416,-0.18703003560113496
495,-0.22514485644536575
126,-0.24298549412569348
695,-0.19168511124139376
228,-0.15705874669447129
428,-0.18947554639596076
651,-0.15069361558932393
663,-0.24895760035090952
586,-0.24385929802192963
468,-0.21670478976205887
262,-0.22392563496460172
235,-0.23459639014663192
250,-0.13736053489707345
176,-0.28471092001870035
275,-0.2421346719812536
719,-0.2440337712625289
225,-0.20748987828160326
371,-0.0579011720317093
462,-0.20952726027557356
614,-0.253405116882667
253,-0.24378134366459858
565,-0.20562658006762624
675,-0.2106235646480079
22,-0.22444072408696947
696,-0.17093573500579673
444,-0.26467236874418254
140,-0.2349853503682997
