id,model,score
7219,BERT,0.26076764242304
396,BERT,-0.8584608206491646
9662,PG,1.4587649482028973
4214,BERT,1.467942624838681
7735,PG,1.4404095949313298
3871,PG,0.9690795736959131
2327,PG,-0.3297309011187986
3088,BERT,0.5571649778633018
929,PG,1.467942624838681
9287,BERT,0.535771878290218
2525,BERT,1.467942624838681
6281,BERT,-0.13482740648926864
3750,BERT,-0.24884348277194301
9665,PG,-0.04101870969713839
3847,BERT,1.4764981343694161
547,BERT,-0.981430530320918
1782,BERT,-0.46933848853968313
626,PG,-1.1282733564934577
9662,BERT,1.4410317620363788
10619,PG,-1.1374510331292413
1905,BERT,-0.8311643613979828
1728,PG,-1.0364965901356202
9721,PG,0.1776543386159728
6627,PG,-0.9144751107752492
4951,PG,-1.0823849733145388
9930,PG,1.467942624838681
4281,BERT,0.32834522907375757
7693,BERT,1.467942624838681
7163,PG,-0.9997858835924855
8920,PG,0.585285825365253
4989,PG,0.4510783680893417
4208,BERT,-0.31358890589797805
9983,PG,-1.0246072304046538
8973,BERT,-0.9970742004973028
2353,BERT,-1.1019159617753065
6184,BERT,-0.9447198237777833
4370,PG,0.33177437597139187
5225,BERT,0.12765123227485356
7163,BERT,-0.9816579351987359
186,BERT,1.433845625817467
10657,BERT,-0.8850180443470169
3042,PG,-0.6732826930014696
9983,BERT,-1.0713451535310987
3060,BERT,-1.0967533956925644
2772,PG,0.02895099258927003
4839,BERT,1.433845625817467
3877,BERT,1.433845625817467
4014,PG,0.1879389898828638
9498,BERT,0.39005144751265647
5740,BERT,-0.8119197118161104
4557,BERT,-1.0967533956925644
3725,BERT,1.433845625817467
8719,BERT,-0.14572847384367602
7338,BERT,1.0047055195869679
7723,PG,1.433845625817467
1120,BERT,1.433845625817467
7612,PG,-0.3097450265678687
6770,PG,0.5074641371242448
7123,BERT,0.16046750025281586
3745,PG,-0.7334783591848725
5440,PG,-1.0967533956925644
929,BERT,1.433845625817467
8173,PG,-0.8934874584008389
4014,BERT,0.004701148040371306
115,PG,-0.6732826930014696
626,BERT,-0.6328896189532918
4214,PG,1.0304471444887922
115,BERT,0.6841235171500339
2234,PG,-1.0459369113696326
8583,PG,1.417688396198196
9665,BERT,-0.5560114632987991
7890,PG,1.433845625817467
4208,PG,1.433845625817467
568,PG,-0.04232430391898407
1376,PG,-1.0967533956925644
10613,BERT,-0.8970046515985155
4133,BERT,-0.3969184231788378
8659,PG,1.3794209069388172
