id,model,score
129,PG,0.27007704478547473
101,PG,0.036389772044452005
117,PG,-0.6733018892825218
104,BERT,0.5345822487602617
132,PG,0.6462893195218798
51,PG,1.0697073257439869
125,PG,-0.4745433118343007
128,PG,0.024926671400058775
40,PG,-1.0820845951877784
9,PG,0.3443395458946545
69,BERT,0.3124624931920381
37,BERT,-0.7912926231677576
15,BERT,0.12474408510794117
94,BERT,1.010239567048238
99,PG,-0.7730438114494081
57,BERT,-0.1053949540825252
23,BERT,0.10517266273705146
19,PG,-0.24925794515459973
31,BERT,0.8138253763121256
18,PG,0.8525489988933007
80,PG,0.44830774440536336
102,BERT,-0.8310024877020098
1,PG,-0.6323617242435392
47,BERT,-0.8226252027980072
113,PG,0.07249261863035372
96,PG,0.818095215086112
11,BERT,-0.511525944456464
64,BERT,-1.830919001949981
95,BERT,0.331541972918083
38,BERT,-0.27870942340577765
21,PG,-0.4855475284287998
27,PG,0.44428724079001586
65,BERT,0.6757966848542551
36,BERT,-0.6115916616972231
49,PG,0.32924940863019597
129,BERT,0.9864416243385247
130,PG,0.655308384419763
32,PG,1.555447055152614
124,BERT,-0.7913689702961034
69,PG,0.05790518533226874
96,BERT,1.1465138424394932
84,PG,0.23305634800170746
19,BERT,-1.0550804769899056
52,PG,-0.8020264220169558
81,BERT,0.23045340171936624
112,PG,-0.7805903463429225
2,PG,-1.3948793597571714
83,BERT,1.4938190758190568
44,BERT,0.055129639222447215
80,BERT,0.018494713200248914
88,BERT,-0.3242878298932555
83,PG,-0.5141530571871731
97,BERT,-0.6663582244944394
118,PG,1.2776133509214973
60,BERT,-0.007845784403392952
25,PG,0.8141913853779293
78,BERT,0.004099748923881134
34,BERT,-0.3992087868463696
29,PG,-0.9636713582730323
103,BERT,0.15599193075901516
58,BERT,1.4818735424917826
82,BERT,-0.10910723896014897
75,BERT,0.7191627702912916
105,BERT,1.6225369106388496
75,PG,-1.367532242223331
34,PG,-1.5041348508807906
77,PG,-0.4809055089150201
9,BERT,-0.09217896634569056
134,BERT,0.16248528525401348
20,BERT,1.3786095488449723
22,BERT,1.243928047524954
54,BERT,0.8598742514659579
106,BERT,-0.07457472366899547
92,PG,0.14443256063733445
42,BERT,0.1622908397158952
17,PG,-1.580651427072137
61,BERT,-0.6214208342563756
48,PG,-0.13641626594771739
66,BERT,-0.1695329155532573
2,BERT,-0.5380691737978317
122,BERT,0.13508364702628295
44,PG,0.9987836224886942
109,BERT,0.5357317485270437
131,PG,0.36074971739357276
130,BERT,-1.3728313616676162
8,BERT,-0.7724690925724094
48,BERT,-0.014180738386240668
