id,text1,text2
DE-4370-SYSTEM-REFERENCE-PG,"von 1 .
januar 2020 an können soldatinnen und soldaten der bundeswehr in uniform kostenlos bahnfahren .
darauf einigten sich das bundesverteidigungsministerium , das bundesverkehrsministerium , das bundesinnenministerium , die csu im bundestag und die deutsche bahn nach teils schwierigen gesprächen .
",ein erstes problem hat die neue verteidigungsministerin kramp-karrenbauer vom tisch: die bundeswehr hat sich mit der deutschen bahn auf gratisfahrten für soldaten geeinigt.
DE-4370-REFERENCE-SYSTEM-PG,ein erstes problem hat die neue verteidigungsministerin kramp-karrenbauer vom tisch: die bundeswehr hat sich mit der deutschen bahn auf gratisfahrten für soldaten geeinigt.,"von 1 .
januar 2020 an können soldatinnen und soldaten der bundeswehr in uniform kostenlos bahnfahren .
darauf einigten sich das bundesverteidigungsministerium , das bundesverkehrsministerium , das bundesinnenministerium , die csu im bundestag und die deutsche bahn nach teils schwierigen gesprächen .
"
DE-4370-SYSTEM-REFERENCE-BERT,"von 1 .
januar 2020 an können soldatinnen und soldaten der bundeswehr in uniform kostenlos bahnfahren .
",ein erstes problem hat die neue verteidigungsministerin kramp-karrenbauer vom tisch: die bundeswehr hat sich mit der deutschen bahn auf gratisfahrten für soldaten geeinigt.
DE-4370-REFERENCE-SYSTEM-BERT,ein erstes problem hat die neue verteidigungsministerin kramp-karrenbauer vom tisch: die bundeswehr hat sich mit der deutschen bahn auf gratisfahrten für soldaten geeinigt.,"von 1 .
januar 2020 an können soldatinnen und soldaten der bundeswehr in uniform kostenlos bahnfahren .
"
DE-186-SYSTEM-REFERENCE-PG,"annegret kramp-karrenbauer will kanzlerin werden , aber ihre chancen werden immer schlechter .
die cdu-chefin macht zu viele fehler , aber auch das merkel-erbe wiegt schwer .
`` ich kann , ich will und ich werde '' - mit dieser kampfansage hat annegret kramp-karrenbauer die bundespolitische bühne betreten , 16 monate ist das erst her .
","annegret kramp-karrenbauer will kanzlerin werden, aber ihre chancen werden immer schlechter.
die cdu-chefin macht zu viele fehler, aber auch das merkel-erbe wiegt schwer."
DE-186-REFERENCE-SYSTEM-PG,"annegret kramp-karrenbauer will kanzlerin werden, aber ihre chancen werden immer schlechter.
die cdu-chefin macht zu viele fehler, aber auch das merkel-erbe wiegt schwer.","annegret kramp-karrenbauer will kanzlerin werden , aber ihre chancen werden immer schlechter .
die cdu-chefin macht zu viele fehler , aber auch das merkel-erbe wiegt schwer .
`` ich kann , ich will und ich werde '' - mit dieser kampfansage hat annegret kramp-karrenbauer die bundespolitische bühne betreten , 16 monate ist das erst her .
"
DE-186-SYSTEM-REFERENCE-BERT,"annegret kramp - karrenbauer will kanzlerin werden , aber ihre chancen werden immer schlechter .
die cdu - chefin macht zu viele fehler , aber auch das merkel - erbe wiegt schwer .
","annegret kramp-karrenbauer will kanzlerin werden, aber ihre chancen werden immer schlechter.
die cdu-chefin macht zu viele fehler, aber auch das merkel-erbe wiegt schwer."
DE-186-REFERENCE-SYSTEM-BERT,"annegret kramp-karrenbauer will kanzlerin werden, aber ihre chancen werden immer schlechter.
die cdu-chefin macht zu viele fehler, aber auch das merkel-erbe wiegt schwer.","annegret kramp - karrenbauer will kanzlerin werden , aber ihre chancen werden immer schlechter .
die cdu - chefin macht zu viele fehler , aber auch das merkel - erbe wiegt schwer .
"
DE-7735-SYSTEM-REFERENCE-PG,"an der sonne zu liegen und den herrgott einen guten mann sein lassen , das ist ja schön und gut .
aber wenn der wirt den letzten ouzo ausgibt und es kein schokoladeneis mehr gibt , muss der urlauber einsehen , dass das normale leben kein all-inclusive-buffet ist .
","an der sonne zu liegen und den herrgott einen guten mann sein lassen, das ist ja schön und gut.
aber wenn der wirt den letzten ouzo ausgibt und es kein schokoladeneis mehr gibt, muss der urlauber einsehen, dass das normale leben kein all-inclusive-buffet ist."
DE-7735-REFERENCE-SYSTEM-PG,"an der sonne zu liegen und den herrgott einen guten mann sein lassen, das ist ja schön und gut.
aber wenn der wirt den letzten ouzo ausgibt und es kein schokoladeneis mehr gibt, muss der urlauber einsehen, dass das normale leben kein all-inclusive-buffet ist.","an der sonne zu liegen und den herrgott einen guten mann sein lassen , das ist ja schön und gut .
aber wenn der wirt den letzten ouzo ausgibt und es kein schokoladeneis mehr gibt , muss der urlauber einsehen , dass das normale leben kein all-inclusive-buffet ist .
"
DE-7735-SYSTEM-REFERENCE-BERT,"an der sonne zu liegen und den herrgott einen guten mann sein lassen , das ist ja schön und gut .
aber wenn der wirt den letzten ouzo ausgibt und es kein schokoladeneis mehr gibt , muss der urlauber einsehen , dass das normale leben kein all - inclusive - buffet ist .
","an der sonne zu liegen und den herrgott einen guten mann sein lassen, das ist ja schön und gut.
aber wenn der wirt den letzten ouzo ausgibt und es kein schokoladeneis mehr gibt, muss der urlauber einsehen, dass das normale leben kein all-inclusive-buffet ist."
DE-7735-REFERENCE-SYSTEM-BERT,"an der sonne zu liegen und den herrgott einen guten mann sein lassen, das ist ja schön und gut.
aber wenn der wirt den letzten ouzo ausgibt und es kein schokoladeneis mehr gibt, muss der urlauber einsehen, dass das normale leben kein all-inclusive-buffet ist.","an der sonne zu liegen und den herrgott einen guten mann sein lassen , das ist ja schön und gut .
aber wenn der wirt den letzten ouzo ausgibt und es kein schokoladeneis mehr gibt , muss der urlauber einsehen , dass das normale leben kein all - inclusive - buffet ist .
"
DE-3061-SYSTEM-REFERENCE-PG,"falls der podcast nicht korrekt abgespielt wird , kann er unter diesem link aufgerufen werden .
wer eltern hat , die selbst nicht studiert haben , tut sich oft schwer , das system deutscher universitäten zu durchdringen - und hat oft nicht die gleichen finanziellen mittel wie mitkommilitoninnen und -kommilitonen .
",katja urbatsch hilft mit arbeiterkind.de menschen aus nicht-akademikerfamilien zum hochschulabschluss.
DE-3061-REFERENCE-SYSTEM-PG,katja urbatsch hilft mit arbeiterkind.de menschen aus nicht-akademikerfamilien zum hochschulabschluss.,"falls der podcast nicht korrekt abgespielt wird , kann er unter diesem link aufgerufen werden .
wer eltern hat , die selbst nicht studiert haben , tut sich oft schwer , das system deutscher universitäten zu durchdringen - und hat oft nicht die gleichen finanziellen mittel wie mitkommilitoninnen und -kommilitonen .
"
DE-3061-SYSTEM-REFERENCE-BERT,"der plan w - podcast ist eine hauseins - produktion für die süddeutsche zeitung .
",katja urbatsch hilft mit arbeiterkind.de menschen aus nicht-akademikerfamilien zum hochschulabschluss.
DE-3061-REFERENCE-SYSTEM-BERT,katja urbatsch hilft mit arbeiterkind.de menschen aus nicht-akademikerfamilien zum hochschulabschluss.,"der plan w - podcast ist eine hauseins - produktion für die süddeutsche zeitung .
"
DE-7966-SYSTEM-REFERENCE-PG,"die <unk> der grünen , ursula nonnemacher , die präambel haben einen kollegen `` zu tränen gerührt '' .
brandenburgs cdu-chef michael stübgen wiederum meinte , das papier sei von `` poetischer schönheit '' .
","manche freuten sich ""grandios"", andere waren ""zu tränen gerührt"".
spd, cdu und grüne rühmen ihren koalitionsvertrag, der viele versprechungen birgt."
DE-7966-REFERENCE-SYSTEM-PG,"manche freuten sich ""grandios"", andere waren ""zu tränen gerührt"".
spd, cdu und grüne rühmen ihren koalitionsvertrag, der viele versprechungen birgt.","die <unk> der grünen , ursula nonnemacher , die präambel haben einen kollegen `` zu tränen gerührt '' .
brandenburgs cdu-chef michael stübgen wiederum meinte , das papier sei von `` poetischer schönheit '' .
"
DE-7966-SYSTEM-REFERENCE-BERT,"brandenburgs ministerpräsident dietmar woidke spricht von einem [unk] [unk] jahrzehnt der investitionen ' ' für die kinder - und fordert eine milliarde euro zusätzlicher schulden .
","manche freuten sich ""grandios"", andere waren ""zu tränen gerührt"".
spd, cdu und grüne rühmen ihren koalitionsvertrag, der viele versprechungen birgt."
