id,text1,text2
FR-7266-SYSTEM-REFERENCE-PG,"le ministère britannique des affaires étrangères s ’ est dit , mardi 20 août , « extrêmement préoccupé » par des informations sur la disparition en chine d ’ un employé de son consulat à hongkong .
","cet employé n’a pas donné de nouvelles depuis un voyage effectué à shenzhen, le 8 août, et pourrait avoir été placé en détention administrative sur le continent."
FR-7266-REFERENCE-SYSTEM-PG,"cet employé n’a pas donné de nouvelles depuis un voyage effectué à shenzhen, le 8 août, et pourrait avoir été placé en détention administrative sur le continent.","le ministère britannique des affaires étrangères s ’ est dit , mardi 20 août , « extrêmement préoccupé » par des informations sur la disparition en chine d ’ un employé de son consulat à hongkong .
"
FR-7266-SYSTEM-REFERENCE-BERT,"une partie de la population multiplie depuis plus de deux mois les manifestations de protestation contre l [unk] influence de pékin sur le territoire , rétrocédé par le royaume - uni en 1997 .
","cet employé n’a pas donné de nouvelles depuis un voyage effectué à shenzhen, le 8 août, et pourrait avoir été placé en détention administrative sur le continent."
FR-7266-REFERENCE-SYSTEM-BERT,"cet employé n’a pas donné de nouvelles depuis un voyage effectué à shenzhen, le 8 août, et pourrait avoir été placé en détention administrative sur le continent.","une partie de la population multiplie depuis plus de deux mois les manifestations de protestation contre l [unk] influence de pékin sur le territoire , rétrocédé par le royaume - uni en 1997 .
"
FR-1661-SYSTEM-REFERENCE-PG,"pour développer son maillage territorial , le parti présidentiel entend procéder au cas par cas : dans les villes qu ’ il estime à sa portée , il compte présenter ses propres listes avec des candidats étiquetés d ’ un autre parti pour profiter de leur implantation .
","les têtes de liste dans dix-neuf villes sont un mélange de « marcheurs » et d’élus sortants, de gauche comme de droite."
FR-1661-REFERENCE-SYSTEM-PG,"les têtes de liste dans dix-neuf villes sont un mélange de « marcheurs » et d’élus sortants, de gauche comme de droite.","pour développer son maillage territorial , le parti présidentiel entend procéder au cas par cas : dans les villes qu ’ il estime à sa portée , il compte présenter ses propres listes avec des candidats étiquetés d ’ un autre parti pour profiter de leur implantation .
"
FR-1661-SYSTEM-REFERENCE-BERT,"le parti présidentiel doit présenter ses propres listes avec des candidats étiquetés de la majorité .
","les têtes de liste dans dix-neuf villes sont un mélange de « marcheurs » et d’élus sortants, de gauche comme de droite."
FR-1661-REFERENCE-SYSTEM-BERT,"les têtes de liste dans dix-neuf villes sont un mélange de « marcheurs » et d’élus sortants, de gauche comme de droite.","le parti présidentiel doit présenter ses propres listes avec des candidats étiquetés de la majorité .
"
FR-15542-SYSTEM-REFERENCE-PG,"un étudiant de 22 ans originaire de saint-etienne s ’ est immolé par le feu devant le bâtiment du centre régional des œuvres universitaires et scolaires à lyon , vendredi dans l ’ après-midi .
","dans un message diffusé sur facebook, l’étudiant avait évoqué ses difficultés financières et accusé « macron, hollande, sarkozy et l’ue » de l’avoir « tué »."
FR-15542-REFERENCE-SYSTEM-PG,"dans un message diffusé sur facebook, l’étudiant avait évoqué ses difficultés financières et accusé « macron, hollande, sarkozy et l’ue » de l’avoir « tué ».","un étudiant de 22 ans originaire de saint-etienne s ’ est immolé par le feu devant le bâtiment du centre régional des œuvres universitaires et scolaires à lyon , vendredi dans l ’ après-midi .
"
FR-15542-SYSTEM-REFERENCE-BERT,"un étudiant de 22 ans originaire de saint - etienne s [unk] est immolé par le feu devant le bâtiment du centre régional des œuvres universitaires et scolaires ( crous ) à lyon , vendredi 8 novembre .
","dans un message diffusé sur facebook, l’étudiant avait évoqué ses difficultés financières et accusé « macron, hollande, sarkozy et l’ue » de l’avoir « tué »."
FR-15542-REFERENCE-SYSTEM-BERT,"dans un message diffusé sur facebook, l’étudiant avait évoqué ses difficultés financières et accusé « macron, hollande, sarkozy et l’ue » de l’avoir « tué ».","un étudiant de 22 ans originaire de saint - etienne s [unk] est immolé par le feu devant le bâtiment du centre régional des œuvres universitaires et scolaires ( crous ) à lyon , vendredi 8 novembre .
"
FR-1253-SYSTEM-REFERENCE-PG,"le chevalier inexistant italo calvino 1959 ( 1962 ) ; « folio » , 2019 , 224 p. acheter chez votre libraire l ’ italie nous envoie ces jours-ci un jeune et séduisant conteur dans la tradition voltairienne .
","ce conte philosophique autour d’un chevalier du moyen age est un divertissement réussi.
cet article est paru dans « le monde » du 7 avril 1962."
FR-1253-REFERENCE-SYSTEM-PG,"ce conte philosophique autour d’un chevalier du moyen age est un divertissement réussi.
cet article est paru dans « le monde » du 7 avril 1962.","le chevalier inexistant italo calvino 1959 ( 1962 ) ; « folio » , 2019 , 224 p. acheter chez votre libraire l ’ italie nous envoie ces jours-ci un jeune et séduisant conteur dans la tradition voltairienne .
"
FR-1253-SYSTEM-REFERENCE-BERT,"la chronique de roger - pol droit , à propos de « le chevalier inexistant » , d [unk] italo calvino .
","ce conte philosophique autour d’un chevalier du moyen age est un divertissement réussi.
cet article est paru dans « le monde » du 7 avril 1962."
FR-1253-REFERENCE-SYSTEM-BERT,"ce conte philosophique autour d’un chevalier du moyen age est un divertissement réussi.
cet article est paru dans « le monde » du 7 avril 1962.","la chronique de roger - pol droit , à propos de « le chevalier inexistant » , d [unk] italo calvino .
"
FR-8315-SYSTEM-REFERENCE-PG,"le corps de la reine , volet complémentaire , attendu et tout à fait stimulant .
si le corps du roi , incarnation de l ’ etat , est la plus puissante expression de la continuité du pouvoir .
","l’historien enquête sur l’incarnation de la monarchie française : après les rois, voici les reines de france, qui inventent l’exercice du pouvoir féminin."
FR-8315-REFERENCE-SYSTEM-PG,"l’historien enquête sur l’incarnation de la monarchie française : après les rois, voici les reines de france, qui inventent l’exercice du pouvoir féminin.","le corps de la reine , volet complémentaire , attendu et tout à fait stimulant .
si le corps du roi , incarnation de l ’ etat , est la plus puissante expression de la continuité du pouvoir .
"
FR-8315-SYSTEM-REFERENCE-BERT,"« le corps de la reine .
engendrer le prince » , d [unk] isabelle de hainaut à marie - amélie de bourbon - sicile , de stanis perez , poursuit son enquête sur l [unk] incarnation de la monarchie française .
","l’historien enquête sur l’incarnation de la monarchie française : après les rois, voici les reines de france, qui inventent l’exercice du pouvoir féminin."
FR-8315-REFERENCE-SYSTEM-BERT,"l’historien enquête sur l’incarnation de la monarchie française : après les rois, voici les reines de france, qui inventent l’exercice du pouvoir féminin.","« le corps de la reine .
engendrer le prince » , d [unk] isabelle de hainaut à marie - amélie de bourbon - sicile , de stanis perez , poursuit son enquête sur l [unk] incarnation de la monarchie française .
"
FR-5915-SYSTEM-REFERENCE-PG,"editorial .
boris johnson tente de faire croire que la sortie du royaume-uni de l ’ union européenne sera une bénédiction et que , débarrassé du carcan de bruxelles , le pays va enfin pouvoir renouer avec son glorieux passé de nation conquérante et créative .
","editorial.
boris johnson, nouveau premier ministre, affirme depuis son entrée en fonctions que la sortie de l’ue permettra au royaume-uni « de faire les choses [que son pays] n’avait pas le droit de faire depuis des décennies ».
pas si simple…"
FR-5915-REFERENCE-SYSTEM-PG,"editorial.
boris johnson, nouveau premier ministre, affirme depuis son entrée en fonctions que la sortie de l’ue permettra au royaume-uni « de faire les choses [que son pays] n’avait pas le droit de faire depuis des décennies ».
pas si simple…","editorial .
boris johnson tente de faire croire que la sortie du royaume-uni de l ’ union européenne sera une bénédiction et que , débarrassé du carcan de bruxelles , le pays va enfin pouvoir renouer avec son glorieux passé de nation conquérante et créative .
"
FR-5915-SYSTEM-REFERENCE-BERT,"editorial .
a peine arrivé au 10 downing street , boris johnson tente de faire croire que la sortie du royaume - uni de l [unk] union européenne sera une bénédiction et que , débarrassé du carcan de bruxelles , le pays va enfin pouvoir renouer avec son glorieux passé de nation conquérante et créative .
","editorial.
boris johnson, nouveau premier ministre, affirme depuis son entrée en fonctions que la sortie de l’ue permettra au royaume-uni « de faire les choses [que son pays] n’avait pas le droit de faire depuis des décennies ».
pas si simple…"
FR-5915-REFERENCE-SYSTEM-BERT,"editorial.
boris johnson, nouveau premier ministre, affirme depuis son entrée en fonctions que la sortie de l’ue permettra au royaume-uni « de faire les choses [que son pays] n’avait pas le droit de faire depuis des décennies ».
pas si simple…","editorial .
a peine arrivé au 10 downing street , boris johnson tente de faire croire que la sortie du royaume - uni de l [unk] union européenne sera une bénédiction et que , débarrassé du carcan de bruxelles , le pays va enfin pouvoir renouer avec son glorieux passé de nation conquérante et créative .
"
FR-6517-SYSTEM-REFERENCE-PG,"il doit être rendu public jeudi , avec , en toile de fond , la nécessité d ’ assurer la sécurité alimentaire d ’ une population mondiale croissante et la lutte contre le réchauffement .
","une délégation des 195 pays a approuvé le texte des experts de l’onu, qui fait le point sur l’état des terres et les impacts des changements climatiques à venir."
FR-6517-REFERENCE-SYSTEM-PG,"une délégation des 195 pays a approuvé le texte des experts de l’onu, qui fait le point sur l’état des terres et les impacts des changements climatiques à venir.","il doit être rendu public jeudi , avec , en toile de fond , la nécessité d ’ assurer la sécurité alimentaire d ’ une population mondiale croissante et la lutte contre le réchauffement .
"
FR-6517-SYSTEM-REFERENCE-BERT,"les etats ont approuvé , mercredi , à genève , le rapport du groupe d [unk] experts intergouvernemental sur l [unk] évolution du climat qui porte sur le réchauffement .
","une délégation des 195 pays a approuvé le texte des experts de l’onu, qui fait le point sur l’état des terres et les impacts des changements climatiques à venir."
FR-6517-REFERENCE-SYSTEM-BERT,"une délégation des 195 pays a approuvé le texte des experts de l’onu, qui fait le point sur l’état des terres et les impacts des changements climatiques à venir.","les etats ont approuvé , mercredi , à genève , le rapport du groupe d [unk] experts intergouvernemental sur l [unk] évolution du climat qui porte sur le réchauffement .
"
FR-459-SYSTEM-REFERENCE-PG,"après trois petits tours expédiés sans perdre le moindre set , novak djokovic entre véritablement dans la compétition avec son choc , en quarts de finale de roland-garros , face à alexander zverev , mercredi 5 juin .
","du quart de finale entre les numéros 1 et 5 mondiaux à l’irruption de vondrousova, ce qu’il ne faut pas rater de roland-garros, sur les courts et en dehors."
FR-459-REFERENCE-SYSTEM-PG,"du quart de finale entre les numéros 1 et 5 mondiaux à l’irruption de vondrousova, ce qu’il ne faut pas rater de roland-garros, sur les courts et en dehors.","après trois petits tours expédiés sans perdre le moindre set , novak djokovic entre véritablement dans la compétition avec son choc , en quarts de finale de roland-garros , face à alexander zverev , mercredi 5 juin .
"
FR-459-SYSTEM-REFERENCE-BERT,"après trois petits tours expédiés sans perdre le moindre set , novak djokovic entre véritablement dans la compétition avec son choc , en quarts de finale de roland - garros , face à alexander zverev .
","du quart de finale entre les numéros 1 et 5 mondiaux à l’irruption de vondrousova, ce qu’il ne faut pas rater de roland-garros, sur les courts et en dehors."
FR-459-REFERENCE-SYSTEM-BERT,"du quart de finale entre les numéros 1 et 5 mondiaux à l’irruption de vondrousova, ce qu’il ne faut pas rater de roland-garros, sur les courts et en dehors.","après trois petits tours expédiés sans perdre le moindre set , novak djokovic entre véritablement dans la compétition avec son choc , en quarts de finale de roland - garros , face à alexander zverev .
"
FR-6863-SYSTEM-REFERENCE-PG,"dans le cadre d ’ un projet pédagogique avec des collégiens de savoie , julien masson , photographe et réalisateur , s ’ est lancé sur les traces des derniers tirailleurs sénégalais entre 2014 et 2018 .
","soixante-quinze ans après le débarquement de provence, « le monde afrique » a rencontré le photographe julien masson, qui a rassemblé dans un livre les témoignages d’anciens combattants."
FR-6863-REFERENCE-SYSTEM-PG,"soixante-quinze ans après le débarquement de provence, « le monde afrique » a rencontré le photographe julien masson, qui a rassemblé dans un livre les témoignages d’anciens combattants.","dans le cadre d ’ un projet pédagogique avec des collégiens de savoie , julien masson , photographe et réalisateur , s ’ est lancé sur les traces des derniers tirailleurs sénégalais entre 2014 et 2018 .
"
FR-6863-SYSTEM-REFERENCE-BERT,"dans le cadre d [unk] un projet pédagogique avec des collégiens de savoie , julien masson , photographe et réalisateur , s [unk] est lancé sur les traces des derniers tirailleurs sénégalais entre 2014 et 2018 .
","soixante-quinze ans après le débarquement de provence, « le monde afrique » a rencontré le photographe julien masson, qui a rassemblé dans un livre les témoignages d’anciens combattants."
FR-6863-REFERENCE-SYSTEM-BERT,"soixante-quinze ans après le débarquement de provence, « le monde afrique » a rencontré le photographe julien masson, qui a rassemblé dans un livre les témoignages d’anciens combattants.","dans le cadre d [unk] un projet pédagogique avec des collégiens de savoie , julien masson , photographe et réalisateur , s [unk] est lancé sur les traces des derniers tirailleurs sénégalais entre 2014 et 2018 .
"
FR-3874-SYSTEM-REFERENCE-PG,"les quatre jours que dure la manifestation restent probablement l ’ un des moments de l ’ année où il se vend le plus de mangas en france .
une écrasante majorité des distributeurs de bd japonaise , fers de lance de la convention , ne manquerait pas l ’ événement , « leur rentrée littéraire » à eux .
",reportage sur le stand d’un éditeur pour suivre les chevilles ouvrières de cette grand-messe de la pop culture japonaise.
FR-3874-REFERENCE-SYSTEM-PG,reportage sur le stand d’un éditeur pour suivre les chevilles ouvrières de cette grand-messe de la pop culture japonaise.,"les quatre jours que dure la manifestation restent probablement l ’ un des moments de l ’ année où il se vend le plus de mangas en france .
une écrasante majorité des distributeurs de bd japonaise , fers de lance de la convention , ne manquerait pas l ’ événement , « leur rentrée littéraire » à eux .
"
FR-3874-SYSTEM-REFERENCE-BERT,"créée en 2003 , ki - oon revendique la place de quatrième éditeur de mangas de france notamment grâce au succès de la série « my hero academia » .
",reportage sur le stand d’un éditeur pour suivre les chevilles ouvrières de cette grand-messe de la pop culture japonaise.
FR-3874-REFERENCE-SYSTEM-BERT,reportage sur le stand d’un éditeur pour suivre les chevilles ouvrières de cette grand-messe de la pop culture japonaise.,"créée en 2003 , ki - oon revendique la place de quatrième éditeur de mangas de france notamment grâce au succès de la série « my hero academia » .
"
FR-1617-SYSTEM-REFERENCE-PG,"ocs city , lundi 17 juin , à 21 heures , série en surfant à son tour sur la vague des séries pour ados – que netflix a enfourchée depuis longtemps – , la chaîne américaine hbo ne recherche peut-être pas le scandale – elle est connue pour tenter de repousser les frontières du représentable – , mais s ’ assure que tout le monde en parle .
","la nouvelle série de la chaîne câblée, diffusée en france sur ocs, frappe au cœur des tensions et tentations adolescentes."
FR-1617-REFERENCE-SYSTEM-PG,"la nouvelle série de la chaîne câblée, diffusée en france sur ocs, frappe au cœur des tensions et tentations adolescentes.","ocs city , lundi 17 juin , à 21 heures , série en surfant à son tour sur la vague des séries pour ados – que netflix a enfourchée depuis longtemps – , la chaîne américaine hbo ne recherche peut-être pas le scandale – elle est connue pour tenter de repousser les frontières du représentable – , mais s ’ assure que tout le monde en parle .
"
FR-1617-SYSTEM-REFERENCE-BERT,"la série « euphoria » , qui frappe au cœur des tensions et tentations qui les travaillent , a été diffusée sur ocs city , lundi 17 juin .
","la nouvelle série de la chaîne câblée, diffusée en france sur ocs, frappe au cœur des tensions et tentations adolescentes."
FR-1617-REFERENCE-SYSTEM-BERT,"la nouvelle série de la chaîne câblée, diffusée en france sur ocs, frappe au cœur des tensions et tentations adolescentes.","la série « euphoria » , qui frappe au cœur des tensions et tentations qui les travaillent , a été diffusée sur ocs city , lundi 17 juin .
"
FR-6618-SYSTEM-REFERENCE-PG,"a l ’ heure du déjeuner , la mère de cécile bloch , 11 ans , s ’ inquiète de l ’ identité judiciaire parisienne et de ses défaillances jusqu ’ au milieu des années 1990 .
","adn, la reine des preuves (5/6).
au moins trois meurtres et cinq viols entre 1986 et 1994 en région parisienne.
cette affaire est aussi celle des défaillances du 36, quai des orfèvres."
FR-6618-REFERENCE-SYSTEM-PG,"adn, la reine des preuves (5/6).
au moins trois meurtres et cinq viols entre 1986 et 1994 en région parisienne.
cette affaire est aussi celle des défaillances du 36, quai des orfèvres.","a l ’ heure du déjeuner , la mère de cécile bloch , 11 ans , s ’ inquiète de l ’ identité judiciaire parisienne et de ses défaillances jusqu ’ au milieu des années 1990 .
"
FR-6618-SYSTEM-REFERENCE-BERT,"le grêlé , responsable d [unk] au moins trois meurtres et cinq viols en région parisienne entre 1986 et 1994 , est aussi celle de l [unk] identité judiciaire parisienne et de ses défaillances jusqu [unk] au milieu des années 1990 .
","adn, la reine des preuves (5/6).
au moins trois meurtres et cinq viols entre 1986 et 1994 en région parisienne.
cette affaire est aussi celle des défaillances du 36, quai des orfèvres."
FR-6618-REFERENCE-SYSTEM-BERT,"adn, la reine des preuves (5/6).
au moins trois meurtres et cinq viols entre 1986 et 1994 en région parisienne.
cette affaire est aussi celle des défaillances du 36, quai des orfèvres.","le grêlé , responsable d [unk] au moins trois meurtres et cinq viols en région parisienne entre 1986 et 1994 , est aussi celle de l [unk] identité judiciaire parisienne et de ses défaillances jusqu [unk] au milieu des années 1990 .
"
FR-4584-SYSTEM-REFERENCE-PG,"fermeture de 130 centres pratiquant l ’ avortement en quinze ans , « rendez-vous imprenables , manque de praticiens , affaiblissement du planning familial » : l ’ entrave à l ’ interruption volontaire de grossesse , estiment dans une tribune une cinquantaine de députés de gauche .
","demandant au gouvernement de passer « des symboles aux actes », les élus entendent protéger le droit à l’avortement via une proposition de loi constitutionnelle."
FR-4584-REFERENCE-SYSTEM-PG,"demandant au gouvernement de passer « des symboles aux actes », les élus entendent protéger le droit à l’avortement via une proposition de loi constitutionnelle.","fermeture de 130 centres pratiquant l ’ avortement en quinze ans , « rendez-vous imprenables , manque de praticiens , affaiblissement du planning familial » : l ’ entrave à l ’ interruption volontaire de grossesse , estiment dans une tribune une cinquantaine de députés de gauche .
"
FR-4584-SYSTEM-REFERENCE-BERT,"une cinquantaine de députés de gauche appellent emmanuel macron à défendre ce « droit fondamental » qu [unk] ils entendent protéger via une proposition de loi constitutionnelle .
","demandant au gouvernement de passer « des symboles aux actes », les élus entendent protéger le droit à l’avortement via une proposition de loi constitutionnelle."
FR-4584-REFERENCE-SYSTEM-BERT,"demandant au gouvernement de passer « des symboles aux actes », les élus entendent protéger le droit à l’avortement via une proposition de loi constitutionnelle.","une cinquantaine de députés de gauche appellent emmanuel macron à défendre ce « droit fondamental » qu [unk] ils entendent protéger via une proposition de loi constitutionnelle .
"
FR-12799-SYSTEM-REFERENCE-PG,"un circuit privé de sept meetings entre l ’ europe et les etats-unis , sorti de la tête et surtout de la poche ( 25 millions de dollars de budget pour cette saison inaugurale ) du milliardaire ukrainien konstantin grigorishin .
","lors de la deuxième étape de l’international swimming league, nouveau circuit privé porté par les stars des bassins, l’américain caeleb dressel a dominé florent manaudou sur 50 m nage libre."
FR-12799-REFERENCE-SYSTEM-PG,"lors de la deuxième étape de l’international swimming league, nouveau circuit privé porté par les stars des bassins, l’américain caeleb dressel a dominé florent manaudou sur 50 m nage libre.","un circuit privé de sept meetings entre l ’ europe et les etats-unis , sorti de la tête et surtout de la poche ( 25 millions de dollars de budget pour cette saison inaugurale ) du milliardaire ukrainien konstantin grigorishin .
"
FR-12799-SYSTEM-REFERENCE-BERT,"après une manche inaugurale à indianapolis les 4 et 5 octobre , le circuit a fait étape les 12 - 13 octobre à naples .
","lors de la deuxième étape de l’international swimming league, nouveau circuit privé porté par les stars des bassins, l’américain caeleb dressel a dominé florent manaudou sur 50 m nage libre."
FR-12799-REFERENCE-SYSTEM-BERT,"lors de la deuxième étape de l’international swimming league, nouveau circuit privé porté par les stars des bassins, l’américain caeleb dressel a dominé florent manaudou sur 50 m nage libre.","après une manche inaugurale à indianapolis les 4 et 5 octobre , le circuit a fait étape les 12 - 13 octobre à naples .
"
FR-11077-SYSTEM-REFERENCE-PG,"la vie politique de jacques chirac a longtemps été perturbée par des affaires judiciaires autour du financement du rpr ( rassemblement pour la république ) alors qu ’ il était maire de paris .
si le président y a longtemps échappé à la faveur de son immunité présidentielle , les affaires l ’ ont rattrapé après ses mandats ( 1995-2002 et 2002-2007 ) .
","retour sur les ennuis judiciaires de l’ancien président avec pascale robert-diard, chroniqueuse judiciaire au « monde »."
FR-11077-REFERENCE-SYSTEM-PG,"retour sur les ennuis judiciaires de l’ancien président avec pascale robert-diard, chroniqueuse judiciaire au « monde ».","la vie politique de jacques chirac a longtemps été perturbée par des affaires judiciaires autour du financement du rpr ( rassemblement pour la république ) alors qu ’ il était maire de paris .
si le président y a longtemps échappé à la faveur de son immunité présidentielle , les affaires l ’ ont rattrapé après ses mandats ( 1995-2002 et 2002-2007 ) .
"
FR-11077-SYSTEM-REFERENCE-BERT,"la vie politique de jacques chirac a longtemps été perturbée par des affaires judiciaires autour du financement du rpr alors qu [unk] il était maire de paris .
","retour sur les ennuis judiciaires de l’ancien président avec pascale robert-diard, chroniqueuse judiciaire au « monde »."
FR-11077-REFERENCE-SYSTEM-BERT,"retour sur les ennuis judiciaires de l’ancien président avec pascale robert-diard, chroniqueuse judiciaire au « monde ».","la vie politique de jacques chirac a longtemps été perturbée par des affaires judiciaires autour du financement du rpr alors qu [unk] il était maire de paris .
"
FR-13758-SYSTEM-REFERENCE-PG,"le 24 avril , la direction générale des finances publiques a ouvert une nouvelle application sur le web ( à l ’ adresse suivante : https : //cadastre.data.gouv.fr/dvf ) permettant à quiconque d ’ accéder librement à la base « demandes de valeurs foncières » .
","le contribuable est moins démuni lors d’une contestation sur la valeur de son bien, estiment jean-yves mercier et jean-françois desbuquois, du cercle des fiscalistes"
FR-13758-REFERENCE-SYSTEM-PG,"le contribuable est moins démuni lors d’une contestation sur la valeur de son bien, estiment jean-yves mercier et jean-françois desbuquois, du cercle des fiscalistes","le 24 avril , la direction générale des finances publiques a ouvert une nouvelle application sur le web ( à l ’ adresse suivante : https : //cadastre.data.gouv.fr/dvf ) permettant à quiconque d ’ accéder librement à la base « demandes de valeurs foncières » .
"
FR-13758-SYSTEM-REFERENCE-BERT,"l [unk] administration a libéré l [unk] intégralité des informations sur les transactions immobilières qu [unk] elle était jusqu [unk] alors seule à détenir de façon aussi complète .
","le contribuable est moins démuni lors d’une contestation sur la valeur de son bien, estiment jean-yves mercier et jean-françois desbuquois, du cercle des fiscalistes"
FR-13758-REFERENCE-SYSTEM-BERT,"le contribuable est moins démuni lors d’une contestation sur la valeur de son bien, estiment jean-yves mercier et jean-françois desbuquois, du cercle des fiscalistes","l [unk] administration a libéré l [unk] intégralité des informations sur les transactions immobilières qu [unk] elle était jusqu [unk] alors seule à détenir de façon aussi complète .
"
FR-6884-SYSTEM-REFERENCE-PG,"le sinistre , qui évolue sur un front de 12 km , n ’ a pas fait de victime mais a entraîné l ’ évacuation de quatre villages de l ’ île , la deuxième de grèce par sa taille après la crète , située à une centaine de kilomètres au nord-est d ’ athènes .
","l’incendie, qui dure depuis plus de trente heures, n’a pas fait de victime, mais a entraîné l’évacuation de quatre villages de l’île.
le gouverneur local déplore « une énorme catastrophe écologique »."
FR-6884-REFERENCE-SYSTEM-PG,"l’incendie, qui dure depuis plus de trente heures, n’a pas fait de victime, mais a entraîné l’évacuation de quatre villages de l’île.
le gouverneur local déplore « une énorme catastrophe écologique ».","le sinistre , qui évolue sur un front de 12 km , n ’ a pas fait de victime mais a entraîné l ’ évacuation de quatre villages de l ’ île , la deuxième de grèce par sa taille après la crète , située à une centaine de kilomètres au nord-est d ’ athènes .
"
FR-6884-SYSTEM-REFERENCE-BERT,"un incendie sur l [unk] île d [unk] eubée mobilise mercredi plus de 200 pompiers grecs .
","l’incendie, qui dure depuis plus de trente heures, n’a pas fait de victime, mais a entraîné l’évacuation de quatre villages de l’île.
le gouverneur local déplore « une énorme catastrophe écologique »."
FR-6884-REFERENCE-SYSTEM-BERT,"l’incendie, qui dure depuis plus de trente heures, n’a pas fait de victime, mais a entraîné l’évacuation de quatre villages de l’île.
le gouverneur local déplore « une énorme catastrophe écologique ».","un incendie sur l [unk] île d [unk] eubée mobilise mercredi plus de 200 pompiers grecs .
"
FR-3290-SYSTEM-REFERENCE-PG,"selon les projections du cabinet de conseils archery strategy consulting ( asc ) , l ’ avion de boeing , immobilisé depuis le 13 mars , pourrait rester cloué au sol pendant un an .
","selon les projections d’un cabinet de conseils, l’avion, immobilisé depuis le 13 mars, pourrait le rester jusqu’au printemps 2020.
un scénario noir pour le groupe américain."
FR-3290-REFERENCE-SYSTEM-PG,"selon les projections d’un cabinet de conseils, l’avion, immobilisé depuis le 13 mars, pourrait le rester jusqu’au printemps 2020.
un scénario noir pour le groupe américain.","selon les projections du cabinet de conseils archery strategy consulting ( asc ) , l ’ avion de boeing , immobilisé depuis le 13 mars , pourrait rester cloué au sol pendant un an .
"
FR-3290-SYSTEM-REFERENCE-BERT,"l [unk] avion de boeing , immobilisé depuis le 13 mars , pourrait rester cloué au sol pendant un an .
un tel scénario serait un coup dur pour l [unk] avionneur américain .
","selon les projections d’un cabinet de conseils, l’avion, immobilisé depuis le 13 mars, pourrait le rester jusqu’au printemps 2020.
un scénario noir pour le groupe américain."
FR-3290-REFERENCE-SYSTEM-BERT,"selon les projections d’un cabinet de conseils, l’avion, immobilisé depuis le 13 mars, pourrait le rester jusqu’au printemps 2020.
un scénario noir pour le groupe américain.","l [unk] avion de boeing , immobilisé depuis le 13 mars , pourrait rester cloué au sol pendant un an .
un tel scénario serait un coup dur pour l [unk] avionneur américain .
"
