id,text1,text2
ID-20507-SYSTEM-REFERENCE-PG,"pelatihan diberikan kepada para pengungsi yang tersebar di 130 desa di enam kecamatan antara lain kecamatan ketapang , banyuates , solobana , robatal , kedundung , dan tambelangan .
pemda setempat akan mengucurkan dana secara bertahap .","para pengungsi madura korban kerusuhan kalimantan tengah diikutsertakan pelatihan wira usaha .
mereka diharapkan bisa hidup mandiri sebelum kembali ke tanah kelahirannya di kalimantan .
"
ID-20507-REFERENCE-SYSTEM-PG,"para pengungsi madura korban kerusuhan kalimantan tengah diikutsertakan pelatihan wira usaha .
mereka diharapkan bisa hidup mandiri sebelum kembali ke tanah kelahirannya di kalimantan .
","pelatihan diberikan kepada para pengungsi yang tersebar di 130 desa di enam kecamatan antara lain kecamatan ketapang , banyuates , solobana , robatal , kedundung , dan tambelangan .
pemda setempat akan mengucurkan dana secara bertahap ."
ID-20507-SYSTEM-REFERENCE-BERT,"para pengungsi korban kerusuhan di kalimantan tengah mendapat pelatihan wira usaha mandiri .
diharapkan melalui praktik usaha mandiri , para pengungsi kelak dapat lebih mandiri jika kembali kampung halamannya di kalteng .
","para pengungsi madura korban kerusuhan kalimantan tengah diikutsertakan pelatihan wira usaha .
mereka diharapkan bisa hidup mandiri sebelum kembali ke tanah kelahirannya di kalimantan .
"
ID-20507-REFERENCE-SYSTEM-BERT,"para pengungsi madura korban kerusuhan kalimantan tengah diikutsertakan pelatihan wira usaha .
mereka diharapkan bisa hidup mandiri sebelum kembali ke tanah kelahirannya di kalimantan .
","para pengungsi korban kerusuhan di kalimantan tengah mendapat pelatihan wira usaha mandiri .
diharapkan melalui praktik usaha mandiri , para pengungsi kelak dapat lebih mandiri jika kembali kampung halamannya di kalteng .
"
ID-13393-SYSTEM-REFERENCE-PG,"bukan tak mungkin aset pltu dieng dan patuha bakal disita dunia internasional .
opic juga mengancam tak akan memberikan dana tambahan untuk kedua pltu itu jika perundingan klaim gagal .
hal itu diungkapkan menko perekonomian rizal ramli .","aset pemerintah di pltu dieng dan patuha bakal disita dunia internasional jika pemerintah tak segera membayar klaim opic .
dana pembayaran klaim diupayakan tak diambil dari apbn .
"
ID-13393-REFERENCE-SYSTEM-PG,"aset pemerintah di pltu dieng dan patuha bakal disita dunia internasional jika pemerintah tak segera membayar klaim opic .
dana pembayaran klaim diupayakan tak diambil dari apbn .
","bukan tak mungkin aset pltu dieng dan patuha bakal disita dunia internasional .
opic juga mengancam tak akan memberikan dana tambahan untuk kedua pltu itu jika perundingan klaim gagal .
hal itu diungkapkan menko perekonomian rizal ramli ."
ID-13393-SYSTEM-REFERENCE-BERT,"pemerintah segera membayar klaim asuransi overseas private investment corporation sebesar us $ 260 juta dengan bunga 6 , 12 persen .
bila perundingan gagal , opic mengancam tak akan memberikan dana tambahan .
","aset pemerintah di pltu dieng dan patuha bakal disita dunia internasional jika pemerintah tak segera membayar klaim opic .
dana pembayaran klaim diupayakan tak diambil dari apbn .
"
ID-13393-REFERENCE-SYSTEM-BERT,"aset pemerintah di pltu dieng dan patuha bakal disita dunia internasional jika pemerintah tak segera membayar klaim opic .
dana pembayaran klaim diupayakan tak diambil dari apbn .
","pemerintah segera membayar klaim asuransi overseas private investment corporation sebesar us $ 260 juta dengan bunga 6 , 12 persen .
bila perundingan gagal , opic mengancam tak akan memberikan dana tambahan .
"
ID-20996-SYSTEM-REFERENCE-PG,"menteri dalam negeri hari sabarno mengusulkan agar para gubernur diberi kewenangan dalam masalah intelijen .
hal itu terutama untuk menanggulangi maraknya berbagai aksi teror dan peledakan di sejumlah daerah , termasuk persoalan otonomi daerah .","mendagri mengusulkan agar para gubernur diberikan kewenangan dalam memperoleh informasi intelijen .
hal itu untuk meredam aksi teror dan peledakan yang marak belakangan ini .
"
ID-20996-REFERENCE-SYSTEM-PG,"mendagri mengusulkan agar para gubernur diberikan kewenangan dalam memperoleh informasi intelijen .
hal itu untuk meredam aksi teror dan peledakan yang marak belakangan ini .
","menteri dalam negeri hari sabarno mengusulkan agar para gubernur diberi kewenangan dalam masalah intelijen .
hal itu terutama untuk menanggulangi maraknya berbagai aksi teror dan peledakan di sejumlah daerah , termasuk persoalan otonomi daerah ."
